EMP_ID,FIRST_NAME,LAST_NAME,SALARY,EMP_RATING,BONUS
E001,Arthur,Black,16500,5,4125.00
E005,Eric,Hoffman,8500,3,1275.00
E010,William,Butler,9000,2,900.00
E052,Dianna,Wilson,5500,5,1375.00
E057,Dorothy,Wilson,7700,1,385.00
E083,Patrick,Voltz,9500,5,2375.00
E103,Emily,Grove,10500,4,2100.00
E204,Karene,Nowak,7500,5,1875.00
E245,Nian,Zhen,6500,2,650.00
E260,Roy,Collins,7000,3,1050.00
E403,Steve,Hoffman,5000,3,750.00
E428,Pete,Allen,11000,4,2200.00
E478,David,Smith,4000,4,800.00
E505,Chad,Wilson,5000,2,500.00
E532,Claire,Brennan,4300,1,215.00
E583,Janet,Hale,10000,2,1000.00
E612,Tracy,Norris,8500,4,1700.00
E620,Katrina,Allen,3000,1,150.00
E640,Jenifer,Jhones,2800,4,560.00
