EMP_ID,FIRST_NAME,LAST_NAME,EXP,EXPERIENCE_RANK
E001,Arthur,Black,20,1
E083,Patrick,Voltz,15,2
E103,Emily,Grove,14,3
E428,Pete,Allen,14,3
E583,Janet,Hale,14,3
E612,Tracy,Norris,13,6
E010,William,Butler,12,7
E005,Eric,Hoffman,11,8
E057,Dorothy,Wilson,9,9
E204,Karene,Nowak,8,10
E260,Roy,Collins,7,11
E052,Dianna,Wilson,6,12
E245,Nian,Zhen,6,12
E505,Chad,Wilson,5,14
E403,Steve,Hoffman,4,15
E532,Claire,Brennan,3,16
E478,David,Smith,3,16
E620,Katrina,Allen,2,18
E640,Jenifer,Jhones,1,19
